id,section,section_title,track,page,japanese,english,note
S001,01,朝の情景,Track 01,22,起きて。学校に遅れるわ。,Get up. You're gonna be late for school.,
S002,01,朝の情景,Track 01,22,もう起きたよ。,I'm up now.,
S003,01,朝の情景,Track 01,22,寝過ごしちゃった。,I've overslept.,
S004,01,朝の情景,Track 01,22,7時に目覚ましをセットしたんだ。,I set the alarm for seven o'clock.,
S005,01,朝の情景,Track 01,22,目覚ましが鳴ったのが聞こえなかったよ。,I couldn't hear my alarm clock going off.,
S006,01,朝の情景,Track 01,22,もう8時？　なんで起こしてくれなかったの？,Is it eight already? Why didn't you wake me up?,
S007,01,朝の情景,Track 01,22,よく眠れた？,Did you sleep well?,
S008,01,朝の情景,Track 01,23,まだ半分寝てる。,I feel only half awake.,
S009,01,朝の情景,Track 01,23,首を寝違えたな。,I woke up with a crick in my neck.,
S010,01,朝の情景,Track 01,23,新聞を取ってきてくれないか？,Can you go and get the newspaper?,
S011,01,朝の情景,Track 01,23,私の老眼鏡を見なかった？,Did you see my reading glasses?,
S012,01,朝の情景,Track 01,23,朝食にはバタートースト1枚とコーヒーを1杯いただきたいね。,I would like a slice of buttered toast and a cup of coffee for breakfast.,
S013,01,朝の情景,Track 01,23,コーヒーができてるはずよ。,Coffee should be ready.,
S014,01,朝の情景,Track 01,23,冷蔵庫からミルクを出してちょうだい。,Get the milk from the fridge.,
S015,01,朝の情景,Track 01,23,腐ってる。,It's gone bad.,
S016,01,朝の情景,Track 01,23,ヨーグルトは体にいいのよ。,Yogurt is good for you.,
S017,01,朝の情景,Track 01,23,トーストが焦げてる。,The toast is burned.,
S018,01,朝の情景,Track 01,24,食事中は携帯を置きなさい。,Put the cell phone down while you're eating.,
S019,01,朝の情景,Track 01,24,あなた、息が臭うわ。,You have bad breath.,
S020,01,朝の情景,Track 01,24,二日酔いは嫌だね。,I hate the morning after.,
S021,02,外出前,Track 02,24,着替えなくちゃ。,I have to get dressed.,
S022,02,外出前,Track 02,24,何を着るのか決まらない。,I can't figure out what to wear.,
S023,02,外出前,Track 02,24,ひげを剃る時間がない。,I don't have time to shave.,
S024,02,外出前,Track 02,24,忘れ物ない？,Got everything?,
S025,02,外出前,Track 02,24,私、どこか変じゃない？,Do I look OK?,
S026,02,外出前,Track 02,25,犬に餌をやった？,Did you feed the dog?,
S027,02,外出前,Track 02,25,お弁当を鞄に入れておくわね。,I'll put your lunch in your bag.,
S028,02,外出前,Track 02,25,留守電つけたよ。,I've set the answering machine.,
S029,02,外出前,Track 02,25,あなた、今日の夕飯は家で食べるの？,Will you be eating at home tonight?,
S030,02,外出前,Track 02,25,帰りは遅くならないようにね。,Don't be home late.,
S031,02,外出前,Track 02,25,台所のガスをもう一度見て。,Double-check the gas in the kitchen.,
S032,02,外出前,Track 02,25,パソコンを消そうか？,Shall I turn off the computer?,
S033,02,外出前,Track 02,25,電気つけっぱなしだよ。,You left the light on.,
S034,02,外出前,Track 02,25,電気ストーブはコンセントを抜いたほうがいいな。,I'd better pull out the plug for the electric heater.,
S035,02,外出前,Track 02,25,電気を節約するいい方法なんだ。,It's a good way to save electricity.,
S036,02,外出前,Track 02,26,鍵はすべて閉めたかしら？,Did I lock up everything?,
S037,02,外出前,Track 02,26,ホームセキュリティシステムがセットしてあるか見て。,See if the home security system is on.,
S038,02,外出前,Track 02,26,もう行くよ。電車に遅れたら嫌だから。,I'm going now. I don't want to miss my train.,
S039,03,通勤／通学電車,Track 03,26,走れば間に合うかも。,"Maybe I can make it, if I run.",
S040,03,通勤／通学電車,Track 03,26,定期券を更新しなきゃ。,I have to renew my commuter pass.,
S041,03,通勤／通学電車,Track 03,26,君はどうやって通勤してるの？,How do you commute?,
S042,03,通勤／通学電車,Track 03,26,僕はJRを使ってる。,I use the JR line.,下線部「JR line」は「subway（地下鉄）」に置き換え可
S043,03,通勤／通学電車,Track 03,27,ホームを間違えてる。,I'm on the wrong platform.,
S044,03,通勤／通学電車,Track 03,27,憂鬱な月曜日だ。,It's a gloomy Monday.,
S045,03,通勤／通学電車,Track 03,27,満員電車に乗るのは大嫌い。,I hate to travel in a jam-packed train.,
S046,03,通勤／通学電車,Track 03,27,いつも好きな音楽を聞いてやり過ごすの。,I always listen to my favorite music and get away with it.,
S047,03,通勤／通学電車,Track 03,27,ラッシュアワーは混雑してる。,It's crowded during rush hour.,
S048,03,通勤／通学電車,Track 03,27,あの人たちを見てよ。まったく生気がない。,Look at them. They look so lifeless.,
S049,03,通勤／通学電車,Track 03,27,誰かの強い香水で気持ち悪くなった。,Someone's strong perfume made me sick.,
S050,03,通勤／通学電車,Track 03,27,優先席は健康な若者が占拠してる。,The priority seats are occupied by healthy young people.,
